名称,osc cmos prog 3.3v st smd,型号,sg-8003jf-scl,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,cmos	,	type,xo (standard)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),15ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,1mhz ~ 166mhz,封装形式,lesop(4),封装尺寸,"0.181,4.60mmwidth",频率稳定度,±50ppm
名称,osc cmos prog 1.8v oe smd,型号,sg-8003ca-peb,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,温度范围,-20～70℃,	工作电压,1.8V	,	output,cmos	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),10ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	available frequency range,1mhz ~ 166mhz,封装形式,smd(4),封装尺寸,"dfn,lcc",频率稳定度,±50ppm
名称,osc cmos prog 1.8v st smd,型号,sg-8003ca-seb,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,温度范围,-20～70℃,	工作电压,1.8V	,	output,cmos	,	type,xo (standard)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),10ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	available frequency range,1mhz ~ 166mhz,封装形式,smd(4),频率稳定度,±50ppm,封装尺寸,"dfn,lcc"
名称,osc 3.3v prog ttl pwrdn 50ppm,型号,cpplt1-lt7pp,分类,可编程振荡器,生产厂家,cardinal components inc.,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,ttl	,	type,xo (standard)	,	function,standby	,	mounting type,through hole	,	current - supply (max),25ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,1mhz ~ 133mhz,封装形式,dip(4),封装尺寸,"fullsize,metalcan",频率稳定度,±50ppm
名称,osc 5.0v prog ttl tri st 100ppm,型号,cpplt4-ht06t,分类,可编程振荡器,生产厂家,cardinal components inc.,厂商地域,美国,质量等级,商业级,温度范围,0～70℃,	工作电压,5V	,	output,ttl	,	type,xo (standard)	,	function,enable/disable	,	mounting type,through hole	,	current - supply (max),45ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,1mhz ~ 133mhz,封装形式,dip(4),封装尺寸,"halfsize,metalcan",频率稳定度,±100ppm
名称,osc 5.0v prog ttl tri st 100ppm,型号,cpplt4-ht76t,分类,可编程振荡器,生产厂家,cardinal components inc.,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,5V	,	output,ttl	,	type,xo (standard)	,	function,enable/disable	,	mounting type,through hole	,	current - supply (max),45ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,1mhz ~ 133mhz,封装形式,dip(4),封装尺寸,"halfsize,metalcan",频率稳定度,±100ppm
名称,osc cmos prog 2.5v oe smd,型号,sg-8003ca-pdb,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,温度范围,-20～70℃,	工作电压,2.5V	,	output,cmos	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),15ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	available frequency range,1mhz ~ 166mhz,封装形式,smd(4),封装尺寸,"dfn,lcc",频率稳定度,±50ppm
名称,osc cmos prog 2.5v st smd,型号,sg-8003ca-sdl,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,质量等级,工业级,温度范围,-40～85℃,	工作电压,2.5V	,	output,cmos	,	type,xo (standard)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),15ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,1mhz ~ 166mhz,封装形式,smd(4),封装尺寸,"dfn,lcc",频率稳定度,±50ppm
名称,osc cmos prog 3.3v oe smd,型号,sg-8003ca-pcc,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,温度范围,-20～70℃,	工作电压,3.3V	,	output,cmos	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),15ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.276 l x 0.197 w (7.00mm x 5.00mm)	,	available frequency range,1mhz ~ 166mhz,封装形式,smd(4),封装尺寸,"dfn,lcc",频率稳定度,±100ppm
名称,osc cmos prog 3.3v oe smd,型号,sg-8003ca-pcm,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,cmos	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),15ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,1mhz ~ 166mhz,封装形式,smd(4),封装尺寸,"dfn,lcc",频率稳定度,±100ppm
名称,osc cmos prog 3.3v st smd,型号,sg-8003ca-scm,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,cmos	,	type,xo (standard)	,	function,standby	,	mounting type,surface mount	,	current - supply (max),15ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,1mhz ~ 166mhz,封装形式,smd(4),封装尺寸,"dfn,lcc",频率稳定度,±100ppm
名称,osc cmos prog 2.5v oe smd,型号,sg-8003ce-pdb,分类,可编程振荡器,生产厂家,epson,厂商地域,日本,温度范围,-20～70℃,	工作电压,2.5V	,	output,cmos	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),15ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	size / dimension,0.126 l x 0.098 w (3.20mm x 2.50mm)	,	available frequency range,1mhz ~ 166mhz,封装形式,smd(4),频率稳定度,±50ppm,封装尺寸,"dfn,lcc"
